id|comments|title
1197453|10071|华为（HUAWEI）荣耀平板 Wifi版 8英寸平板电脑（高通骁龙四核 1280×800 1G/8G 4800mAh）银色
1192330|10000|小米（MI）7.9英寸平板 WIFI 64GB（NVIDIA Tegra K1 2.2GHz 2G 64G 2048*1536视网膜屏 800W）白色
1225995|2218|小米（MI）7.9英寸平板 WIFI 16GB（NVIDIA Tegra K1 2.2GHz 2G 16G 2048*1536视网膜屏 800W）浅绿色
1308557|1605|华为（HUAWEI）荣耀平板优享版 Wifi 8英寸平板电脑（高通骁龙 64位四核1280×800 2G/16G 4800mAh）香槟金
1185287|836|微软（Microsoft） Surface Pro 3（中文版 Intel i5 128G存储 4G内存）MQ2-00014
1197789|1000|
996957|11123|Apple iPad Air MD785CH 9.7英寸平板电脑 （16G WiFi版）深空灰色
1150612|5857|台电（Teclast） P98 3G八核 9.7英寸平板电脑(MTK8392 Air视网膜屏1300W摄像头 2G/16GB 超薄7.4mm)前白后金
1285329|2482|台电（Teclast）X98 Air 3G 双系统版 9.7英寸平板电脑(正版Win8+安卓 3G通话 Intel 3736F Air屏)前白后灰
